CASE_CODE_TYPE,CASE_CODE,CASE_CODE_TITLE,Hierarchy_level,Sort_sequence
Event,1,VIOLENCE AND OTHER INJURIES BY PERSONS OR ANIMALS,1,1
Event,10,"Violence and other injuries by persons or animals, unspecified",2,2
Event,11,Intentional injury by person,2,3
Event,110,"Intentional injury by person, unspecified",3,4
Event,111,Intentional injury by other person,3,5
Event,1110,"Intentional injury by other person, unspecified",4,6
Event,1111,Shooting by other person--intentional,4,7
Event,1112,"Stabbing, cutting, slashing, piercing",4,8
Event,1113,"Hitting, kicking, beating, shoving",4,9
Event,1114,Strangulation by other person,4,10
Event,1115,"Bombing, arson",4,11
Event,1116,"Rape, sexual assault ",4,12
Event,1117,"Threat, verbal assault",4,13
Event,1118,Multiple violent acts by other person,4,14
Event,1119,"Intentional injury by other person, n.e.c.",4,15
Event,112,Self-inflicted injury--intentional ,3,16
Event,1120,"Self-inflicted injury--intentional, unspecified",4,17
Event,1121,Shooting--intentional self-harm,4,18
Event,1122,"Hanging, strangulation, asphyxiation--intentional self-harm",4,19
Event,1123,Jumping from building or other structure--intentional self-harm,4,20
Event,1124,"Cutting, stabbing--intentional self-harm",4,21
Event,1125,Drug overdose--intentional self-harm,4,22
Event,1126,Inhalation of substance--intentional self-harm,4,23
Event,1129,"Self-inflicted injury--intentional, n.e.c.",4,24
Event,12,Injury by person--unintentional or intent unknown,2,25
Event,120,"Injury by person--unintentional or intent unknown, unspecified",3,26
Event,121,Injury by other person--unintentional or intent unknown,3,27
Event,1210,"Injury by other person--unintentional or intent unknown, unspecified  ",4,28
Event,1211,Shooting by other person--unintentional ,4,29
Event,1212,Injured by physical contact with other person in sporting event or physical training,4,30
Event,1213,Injured by physical contact during horseplay ,4,31
Event,1214,"Injured by physical contact with person while restraining, subduing--unintentional",4,32
Event,1215,Injured by physical contact with person while moving that person--unintentional ,4,33
Event,1218,Multiple unintentional injuries by other person,4,34
Event,1219,"Injury by other person--unintentional or intent unknown, n.e.c.",4,35
Event,122,Self-inflicted injury--unintentional or intent unknown,3,36
Event,1220,"Self-inflicted injury--unintentional or intent unknown, unspecified",4,37
Event,1221,Self-inflicted shooting--unintentional,4,38
Event,1222,Self-inflicted shooting--intent unknown,4,39
Event,1223,Self-tasered--unintentional,4,40
Event,1224,Drug overdose--intent unknown,4,41
Event,1229,"Self-inflicted injury--unintentional or intent unknown, n.e.c.",4,42
Event,129,"Injury by person--unintentional or intent unknown, n.e.c.",3,43
Event,13,Animal and insect related incidents ,2,44
Event,130,"Animal and insect related incidents, unspecified",3,45
Event,131,Bites and stings,3,46
Event,1310,"Bites and stings, unspecified",4,47
Event,1311,Stings and venomous bites,4,48
Event,1312,Nonvenomous insect bites ,4,49
Event,1313,"Other animal bites, nonvenomous",4,50
Event,1319,"Bites and stings, n.e.c.",4,51
Event,132,Struck by animal ,3,52
Event,1320,"Struck by animal, unspecified",4,53
Event,1321,Trampled by or stepped on by animal,4,54
Event,1322,Kicked by animal,4,55
Event,1323,"Mauled, clawed, or scratched by animal",4,56
Event,1324,Gored or rammed by animal,4,57
Event,1329,"Struck by animal, n.e.c.",4,58
Event,138,Multiple types of animal and insect incidents,3,59
Event,1380,"Multiple types of animal and insect incidents, unspecified",4,60
Event,1381,Bitten and struck by animal,4,61
Event,1389,"Multiple types of animal and insect incidents, n.e.c. ",4,62
Event,139,"Animal and insect related incidents, n.e.c.",3,63
Event,2,TRANSPORTATION INCIDENTS,1,64
Event,20,"Transportation incident, unspecified",2,65
Event,21,Aircraft incidents,2,66
Event,210,"Aircraft incident, unspecified",3,67
Event,211,Pedestrian struck by aircraft or propeller,3,68
Event,212,Aircraft crash during takeoff or landing ,3,69
Event,2120,"Aircraft crash during takeoff or landing, unspecified",4,70
Event,2121,Aircraft crash during takeoff or landing--due to mechanical failure,4,71
Event,2122,Aircraft crash during takeoff or landing--between air vehicles,4,72
Event,2123,Aircraft crash during takeoff or landing--with ground vehicle,4,73
Event,2124,"Aircraft crash during takeoff or landing--into structure, object, or ground",4,74
Event,2129,"Aircraft crash during takeoff or landing, n.e.c. ",4,75
Event,213,Explosion or fire on aircraft,3,76
Event,214,Aircraft crash due to low-altitude entanglement ,3,77
Event,215,Other in-flight crash,3,78
Event,2150,"Other in-flight crash, unspecified",4,79
Event,2151,Other in-flight crash due to mechanical failure,4,80
Event,2152,Other in-flight crash between air vehicles,4,81
Event,2153,"Other in-flight crash into structure, object, or ground",4,82
Event,2159,"Other in-flight crash, n.e.c. ",4,83
Event,216,Parachuting incident,3,84
Event,217,Fall on aircraft during transport,3,85
Event,219,"Aircraft incident, n.e.c.",3,86
Event,22,Rail vehicle incidents,2,87
Event,220,"Rail vehicle incident, unspecified",3,88
Event,221,Collision between rail vehicle and another vehicle ,3,89
Event,2210,"Rail vehicle collision, unspecified",4,90
Event,2211,Collision between two rail vehicles,4,91
Event,2212,Collision between rail and roadway vehicles,4,92
Event,2219,"Rail vehicle collision, n.e.c.",4,93
Event,222,Derailment,3,94
Event,223,Explosion or fire on rail vehicle--transportation incident,3,95
Event,224,Fall or jump from and struck by rail vehicle--transportation incident ,3,96
Event,225,Fall or jump from rail vehicle--transportation incident ,3,97
Event,226,Fall on rail vehicle--transportation incident,3,98
Event,227,Pedestrian struck by rail vehicle--transportation incident,3,99
Event,229,"Rail vehicle incident, n.e.c.",3,100
Event,23,Animal and other non-motorized vehicle transportation incidents,2,101
Event,230,"Animal and other non-motorized vehicle transportation incident, unspecified",3,102
Event,231,Animal transportation incident,3,103
Event,2310,"Animal transportation incident, unspecified",4,104
Event,2311,Animal transportation collision in roadway,4,105
Event,2312,Animal transportation collision in nonroadway area,4,106
Event,2313,"Thrown, fell, or jumped from animal being ridden",4,107
Event,2314,"Thrown, tipped, or fell from animal-drawn vehicle",4,108
Event,2315,"Animal transportation--struck bump, hole, or other rough terrain",4,109
Event,2319,"Animal transportation incident, n.e.c.",4,110
Event,232,Pedal cycle incident,3,111
Event,2320,"Pedal cycle incident, unspecified",4,112
Event,2321,Pedal cycle collision in roadway,4,113
Event,2322,Pedal cycle collision in nonroadway area,4,114
Event,2323,Fall from pedal cycle,4,115
Event,2324,"Pedal cycle struck bump, hole, or other rough terrain",4,116
Event,2329,"Pedal cycle incident, n.e.c",4,117
Event,239,"Animal and other non-motorized vehicle transportation incident,  n.e.c. ",3,118
Event,24,Pedestrian vehicular incidents,2,119
Event,240,"Pedestrian vehicular incident, unspecified",3,120
Event,241,Pedestrian struck by vehicle in work zone,3,121
Event,2410,"Pedestrian struck by vehicle in work zone, unspecified",4,122
Event,2411,Pedestrian struck by vehicle propelled by another vehicle in work zone,4,123
Event,2412,Pedestrian struck by forward-moving vehicle in work zone ,4,124
Event,2413,Pedestrian struck by vehicle backing up in work zone ,4,125
Event,2419,"Pedestrian struck by vehicle in work zone, n.e.c.",4,126
Event,242,Pedestrian struck by vehicle in roadway,3,127
Event,2420,"Pedestrian struck by vehicle in roadway, unspecified",4,128
Event,2421,Pedestrian struck by vehicle propelled by another vehicle in roadway,4,129
Event,2422,Pedestrian struck by forward-moving vehicle in roadway,4,130
Event,2423,Pedestrian struck by vehicle backing up in roadway,4,131
Event,2429,"Pedestrian struck by vehicle in roadway, n.e.c.",4,132
Event,243,Pedestrian struck by vehicle on side of road,3,133
